DIVISION;SUBDIVISION;SURFACE;GFA;REVENU;IdSubdivision;IdParcelle;IdTypeCad;IdClassCad;IdFermage;IdExploitant;IdCommune;IdLieuDit;DureeFermage;Point;IdRecad;PointFermage
1;1;3.0000000000000000e+03;;9.9060000000000006e+00;2961;13;7;2;12;3;2;335;0;7.7999999999999998e+00;18;0.0000000000000000e+00
1;1;4.9600000000000000e+03;;1.6377920000000000e+01;2962;14;7;1;12;3;2;335;0;1.2896000000000001e+01;19;0.0000000000000000e+00
1;1;2.9200000000000000e+03;;9.6418400000000002e+00;2963;15;7;1;12;3;2;335;0;7.5919999999999996e+00;20;0.0000000000000000e+00
1;1;1.5200000000000000e+02;;0.0000000000000000e+00;2964;16;8;0;8;3;2;335;;0.0000000000000000e+00;21;
1;1;2.4000000000000000e+02;;0.0000000000000000e+00;2965;17;8;0;8;3;2;335;;0.0000000000000000e+00;22;
1;1;7.2000000000000000e+02;;3.6575999999999997e-01;2966;18;7;1;6;59;2;335;;2.8799999999999998e-01;23;
1;1;1.4100000000000000e+02;;7.1627999999999997e-02;2967;19;7;3;6;59;2;335;;5.6399999999999999e-02;24;
1;1;1.0300000000000000e+02;;5.2324000000000002e-02;2968;20;7;3;6;59;2;335;;4.1200000000000001e-02;25;
1;1;2.3000000000000000e+02;;1.1684000000000000e-01;2969;21;7;3;6;59;2;335;;9.1999999999999998e-02;26;
1;1;6.7500000000000000e+02;;3.4289999999999998e-01;2970;22;7;3;6;59;2;335;;2.7000000000000002e-01;27;
1;1;2.7700000000000000e+02;;1.4071600000000001e-01;2971;23;7;3;6;59;2;335;;1.1080000000000000e-01;28;
1;1;3.2000000000000000e+02;;1.6256000000000001e-01;2972;24;7;3;6;59;2;335;;1.2800000000000000e-01;29;
1;1;6.1200000000000000e+03;;2.0208240000000000e+01;2973;25;7;2;12;3;2;335;0;1.5912000000000001e+01;30;0.0000000000000000e+00
1;1;5.2800000000000000e+02;;4.0233600000000003e-01;2974;26;7;2;5;3;2;335;0;3.1680000000000003e-01;31;0.0000000000000000e+00
1;1;6.4500000000000000e+02;;0.0000000000000000e+00;2975;27;8;0;8;3;2;335;;0.0000000000000000e+00;32;
1;1;8.6400000000000000e+02;;6.5836799999999995e-01;2976;28;7;1;5;3;2;335;0;5.1839999999999997e-01;33;0.0000000000000000e+00
1;1;1.5040000000000000e+03;;7.6403200000000004e-01;2977;29;7;2;6;59;2;335;;6.0160000000000002e-01;34;
1;1;1.1840000000000000e+03;;6.0147200000000001e-01;2978;30;7;2;6;59;2;335;;4.7360000000000002e-01;35;
1;1;9.1200000000000000e+02;;3.0114239999999999e+00;2979;31;9;4;12;3;2;335;;2.3712000000000000e+00;36;
1;1;1.0880000000000000e+03;;5.5270399999999997e-01;2980;32;7;2;6;3;2;298;;4.3519999999999998e-01;37;
1;1;8.0000000000000000e+01;;4.0640000000000003e-02;2981;33;7;3;6;3;2;298;;3.2000000000000001e-02;38;
1;1;4.3200000000000000e+02;;2.1945600000000001e-01;2982;34;7;2;6;3;2;298;;1.7280000000000001e-01;39;
1;1;3.0400000000000000e+02;;1.5443200000000001e-01;2983;35;7;2;6;3;2;298;;1.2160000000000000e-01;40;
1;1;2.8000000000000000e+03;;1.4224000000000001e+00;2984;36;7;2;6;3;2;298;;1.1200000000000001e+00;41;
1;1;7.5200000000000000e+02;;3.8201600000000002e-01;2986;38;7;2;6;3;2;298;;3.0080000000000001e-01;43;
1;1;1.2000000000000000e+03;;6.0960000000000003e-01;2987;39;7;2;6;3;2;298;;4.7999999999999998e-01;44;
1;1;8.4800000000000000e+02;;4.3078400000000000e-01;2988;40;7;2;6;3;2;298;;3.3920000000000000e-01;45;
1;1;4.0800000000000000e+03;;2.0726399999999998e+00;2989;41;7;2;6;3;2;298;;1.6319999999999999e+00;46;
1;1;6.7200000000000000e+02;;3.4137600000000001e-01;2991;43;7;2;6;3;2;298;;2.6879999999999998e-01;48;
1;1;4.1600000000000000e+02;;2.1132799999999999e-01;2992;44;7;2;6;3;2;298;;1.6639999999999999e-01;49;
1;1;2.0800000000000000e+03;;1.0566400000000000e+00;2993;45;7;2;6;3;2;298;;8.3199999999999996e-01;50;
1;1;1.7600000000000000e+03;;8.9407999999999999e-01;2994;46;7;2;6;3;2;298;;7.0399999999999996e-01;51;
1;1;2.8000000000000000e+03;;1.4224000000000001e+00;2995;47;7;2;6;3;2;298;;1.1200000000000001e+00;52;
1;1;4.8400000000000000e+03;;2.4587200000000000e+00;2997;49;7;2;6;3;2;112;;1.9359999999999999e+00;54;
1;1;2.4000000000000000e+03;;1.2192000000000001e+00;2998;50;7;2;6;3;2;112;;9.5999999999999996e-01;55;
1;1;1.3770000000000000e+03;;6.9951600000000003e-01;2999;51;7;2;6;3;2;112;;5.5079999999999996e-01;56;
1;1;1.9390000000000000e+03;;9.8501200000000000e-01;3001;53;7;3;6;3;2;113;;7.7559999999999996e-01;58;
1;1;5.4000000000000000e+03;;2.7431999999999999e+00;3002;54;7;2;6;3;2;112;;2.1600000000000001e+00;59;
1;1;8.3100000000000000e+02;;4.2214800000000002e-01;3003;55;7;1;6;3;2;112;;3.3239999999999997e-01;60;
1;1;1.8200000000000000e+03;;9.2456000000000005e-01;3004;56;7;2;6;3;2;323;;7.2799999999999998e-01;61;
1;1;3.7200000000000000e+03;;1.8897600000000001e+00;3005;57;7;2;6;3;2;323;;1.4880000000000000e+00;62;
1;1;2.5500000000000000e+03;;1.2954000000000001e+00;3006;58;7;2;6;3;2;323;0;1.0200000000000000e+00;63;0.0000000000000000e+00
